ParticipantID,V6,V8,V9,V10,Consent,ConditionACTIVE1PASSIVE2,ingVH_I1,ingVH_C1,ingVH_I2,ingVH_C2,ingVS_I1,ingVS_C1,ingVS_I2,ingVS_C2,ingPH_I1,ingPH_C1,ingPH_I2,ingPH_C2,ingPS_I1,ingPS_C1,ingPS_I2,ingPS_C2,edVH_I1,edVH_C1,edVH_I2,edVH_C2,edVS_I1,edVS_C1,edVS_I2,edVS_C2,edPH_I1,edPH_C1,edPH_I2,edPH_C2,edPS_I1,edPS_C1,edPS_I2,edPS_C2,EDU,EDUOTHER,ENGNATIVE,ENGYEARS,POL,REL,AGE_1_TEXT,ETHNIC,GENDER,COMMENTS,H_I_V,H_C_V,S_I_V,S_C_V,H_I_P,H_C_P,S_I_P,S_C_P,INJ_V,INJ_P,CON_P,CON_V,CON,INJ
R_Or2eqvfrW21vYHv,184.20.247.120,7/1/2016 16:21:47,7/1/2016 16:25:48,1,1,1,3,3,7,7,7,7,0,0,7,7,7,7,7,7,7,7, , , , , , , , , , , , , , , , ,5, ,1, ,1,7,42,Asian,2,No,5,5,3.5,3.5,7,7,7,7,4.25,7,7,4.25,5.625,5.625
R_2ONJ2xwcrD87NIL,98.125.56.239,7/1/2016 18:37:22,7/1/2016 18:40:19,1,1,1,7,6,7,5,7,7,7,7,7,6,7,6,7,7,7,7, , , , , , , , , , , , , , , , ,2, ,1, ,6,3,39,white,2,no,7,5.5,7,7,7,6,7,7,7,7,6.5,6.25,6.375,7
R_3n1xRQczwWenJrB,64.156.167.160,7/1/2016 15:09:40,7/1/2016 15:11:45,1,1,1,1,7,0,0,7,7,7,7,6,6,7,7,7,7,7,7, , , , , , , , , , , , , , , , ,4, ,1, ,4,1,29,White,1,Great survey.,.5,3.5,7,7,6.5,6.5,7,7,3.75,6.75,6.75,5.25,6,5.25
R_12L27Z8HWIm6ZAB,129.59.122.63,7/1/2016 14:53:33,7/1/2016 14:56:01,1,1,1,6,2,5,2,4,0,6,0,4,5,7,5,6,5,7,7, , , , , , , , , , , , , , , , ,3, ,1, ,7,1,21,White,2, ,5.5,2,5,0,5.5,5,6.5,6,5.25,6,5.5,1,3.25,5.625
R_28AhCi8uVr4EqH0,45.17.237.42,7/1/2016 15:21:18,7/1/2016 15:25:36,1,1,1,7,0,2,1,7,0,4,0,7,3,5,4,7,7,7,7, , , , , , , , , , , , , , , , ,4, ,1, ,4,6,32,white,2, ,4.5,.5,5.5,0,6,3.5,7,7,5,6.5,5.25,.25,2.75,5.75
R_u8iP91otG5A48Ux,206.255.96.190,7/1/2016 16:13:09,7/1/2016 16:16:32,1,1,1,0,0,0,0,0,0,0,0,6,2,7,3,7,7,7,7, , , , , , , , , , , , , , , , ,4, ,1, ,3,1,19,white,1,none,0,0,0,0,6.5,2.5,7,7,0,6.75,4.75,0,2.375,3.375
R_2arTjjQr1FZ3BBr,73.52.29.61,7/1/2016 14:56:44,7/1/2016 14:57:39,1,1,1,2,4,3,4,4,3,4,3,2,4,3,5,5,3,4,3, , , , , , , , , , , , , , , , ,3, ,1, ,7,1,25,white,1, ,2.5,4,4,3,2.5,4.5,4.5,3,3.25,3.5,3.75,3.5,3.625,3.375
R_1dGGv5j2B6DigjC,23.27.245.92,7/1/2016 17:51:48,7/1/2016 17:54:18,1,1,1,0,0,0,0,0,0,0,0,7,6,7,6,7,7,7,7, , , , , , , , , , , , , , , , ,7, ,1, ,6,3,58,Caucasian,2, ,0,0,0,0,7,6,7,7,0,7,6.5,0,3.25,3.5
R_qPk2y00xQ5Ri7eN,68.119.82.186,7/1/2016 14:51:44,7/1/2016 14:55:48,1,1,1,6,7,7,7,5,7,6,7,1,7,1,7,1,7,1,7, , , , , , , , , , , , , , , , ,4, ,1, ,6,6,36,black,2, ,6.5,7,5.5,7,1,7,1,7,6,1,7,7,7,3.5
R_po7AuQrTRStBGBb,68.13.253.103,7/1/2016 15:42:59,7/1/2016 15:44:58,1,1,1,6,3,7,5,7,6,7,5,6,2,7,5,7,7,7,7, , , , , , , , , , , , , , , , ,4, ,1, ,7,1,22,white,1, ,6.5,4,7,5.5,6.5,3.5,7,7,6.75,6.75,5.25,4.75,5,6.75
